regional,opco_area,province_code,province_desc,district_code,district_desc,brand,material_code,material_desc,delivery_type,baseunit_of_measure,shipto,shipto_desc,soldto,soldto_desc,plant,plant_name,area_name,segment,segment_material,quantity,revenue,incoterm,date
AREA 5,ST,1032,KALIMANTAN TIMUR,103203,KOTA SAMARINDA,Atlas,MAT004,Atlas Semen Portland Komposit,ZLF,ZAK,WH-1032-02,Gudang Kalimantan Timur 02,SD-1032-01,PT Distributor Kalimantan Timur 01,PL-005,Pabrik Pangkep,AREA 68 SAMARINDA,FB,Retail Bag,117.94,113582588,Delivery,2026-03-21
AREA 1,SP,1012,SUMATERA BARAT,101201,KABUPATEN PADANG PARIAMAN,TerraBlock,MAT002,TerraBlock Semen PCC Premium,ZLC,ZAK,WH-1012-01,Gudang Sumatera Barat 01,SD-1012-03,PT Distributor Sumatera Barat 03,PL-001,Pabrik Indarung,AREA 10 PADANG,FB,Retail Bag,13.16,12848081,Delivery,2026-03-21
AREA 3,SBI,1022,JAWA BARAT,102201,KABUPATEN BOGOR,Tecton,MAT001,Tecton Semen Portland Tipe I,ZLC,BAG,WH-1022-01,Gudang Jawa Barat 01,SD-1022-03,PT Distributor Jawa Barat 03,PL-003,Pabrik Narogong,AREA 35 BOGOR,FB,Retail Bag,127.61,136092619,Delivery,2026-03-21
AREA 3,SBI,1021,DKI JAKARTA,102103,KOTA JAKARTA SELATAN,Kinetiq,MAT004,Kinetiq Semen Portland Komposit,ZSLF,BAG,WH-1021-01,Gudang Dki Jakarta 01,SD-1021-01,PT Distributor Dki Jakarta 01,PL-003,Pabrik Narogong,AREA 34 JAKARTA,MB,Retail Bag,133.67,169570553,Delivery,2026-03-21
AREA 3,SBI,1020,BANTEN,102003,KOTA CILEGON,Omnicore,MAT004,Omnicore Semen Portland Komposit,ZLC,BAG,WH-1020-01,Gudang Banten 01,SD-1020-01,PT Distributor Banten 01,PL-003,Pabrik Narogong,AREA 33 BANTEN,MB,Retail Bag,63.66,61940097,Pickup,2026-03-21
AREA 4,SG,1026,BALI,102602,KOTA DENPASAR,Primebase,MAT003,Primebase Semen Tecton Khusus,ZLC,BAG,WH-1026-01,Gudang Bali 01,SD-1026-03,PT Distributor Bali 03,PL-004,Pabrik Tuban,AREA 57 DENPASAR,MB,Retail Bag,95.88,91289649,Pickup,2026-03-21
AREA 4,SG,1026,BALI,102601,KABUPATEN BADUNG,Vanguard,MAT001,Vanguard Semen Portland Tipe I,ZLF,ZAK,WH-1026-02,Gudang Bali 02,SD-1026-02,PT Distributor Bali 02,PL-004,Pabrik Tuban,AREA 57 DENPASAR,FB,Retail Bag,15.45,19421824,Delivery,2026-03-21
AREA 1,SP,1011,SUMATERA UTARA,101102,KOTA MEDAN,Fonda,MAT003,Fonda Semen Tecton Khusus,ZLF,BAG,WH-1011-01,Gudang Sumatera Utara 01,SD-1011-01,PT Distributor Sumatera Utara 01,PL-001,Pabrik Indarung,AREA 05 MEDAN,FB,Retail Bag,80.08,101254193,Delivery,2026-03-21
AREA 4,SG,1025,JAWA TIMUR,102503,KOTA MALANG,Vanguard,MAT004,Vanguard Semen Portland Komposit,ZLC,ZAK,WH-1025-02,Gudang Jawa Timur 02,SD-1025-02,PT Distributor Jawa Timur 02,PL-004,Pabrik Tuban,AREA 53 MALANG,FB,Retail Bag,81.74,97143576,Pickup,2026-03-21
AREA 4,SG,1026,BALI,102602,KOTA DENPASAR,Vanguard,MAT001,Vanguard Semen Portland Tipe I,ZSLF,ZAK,WH-1026-02,Gudang Bali 02,SD-1026-01,PT Distributor Bali 01,PL-004,Pabrik Tuban,AREA 57 DENPASAR,FB,Retail Bag,149.41,154027665,Delivery,2026-03-21
AREA 5,ST,1030,KALIMANTAN SELATAN,103003,KOTA BANJAR BARU,Atlas,MAT002,Atlas Semen PCC Premium,ZLC,ZAK,WH-1030-02,Gudang Kalimantan Selatan 02,SD-1030-01,PT Distributor Kalimantan Selatan 01,PL-005,Pabrik Pangkep,AREA 65 BANJARMASIN,FB,Retail Bag,22.58,23587293,Delivery,2026-03-21
AREA 4,SG,1025,JAWA TIMUR,102501,KABUPATEN SIDOARJO,Primebase,MAT001,Primebase Semen Portland Tipe I,ZSLF,BAG,WH-1025-02,Gudang Jawa Timur 02,SD-1025-01,PT Distributor Jawa Timur 01,PL-004,Pabrik Tuban,AREA 51 SURABAYA,MB,Retail Bag,47.91,57373326,Delivery,2026-03-21
AREA 2,SMBR,1015,JAMBI,101502,KOTA JAMBI,Monolith,MAT001,Monolith Semen Portland Tipe I,ZLC,BAG,WH-1015-02,Gudang Jambi 02,SD-1015-03,PT Distributor Jambi 03,PL-002,Pabrik Baturaja,AREA 18 JAMBI,FB,Retail Bag,99.85,115418312,Pickup,2026-03-21
AREA 4,SG,1025,JAWA TIMUR,102501,KABUPATEN SIDOARJO,Primebase,MAT002,Primebase Semen PCC Premium,ZLF,BAG,WH-1025-02,Gudang Jawa Timur 02,SD-1025-03,PT Distributor Jawa Timur 03,PL-004,Pabrik Tuban,AREA 51 SURABAYA,MB,Retail Bag,22.47,28013573,Delivery,2026-03-21
AREA 5,ST,1038,GORONTALO,103802,KOTA GORONTALO,Atlas,MAT003,Atlas Semen Tecton Khusus,ZSLF,BAG,WH-1038-01,Gudang Gorontalo 01,SD-1038-02,PT Distributor Gorontalo 02,PL-005,Pabrik Pangkep,AREA 83 GORONTALO,FB,Retail Bag,132.92,169050978,Pickup,2026-03-21
AREA 5,ST,1028,NUSA TENGGARA TIMUR,102802,KOTA KUPANG,Atlas,MAT003,Atlas Semen Tecton Khusus,ZSLF,BAG,WH-1028-01,Gudang Nusa Tenggara Timur 01,SD-1028-03,PT Distributor Nusa Tenggara Timur 03,PL-005,Pabrik Pangkep,AREA 90 KUPANG,MB,Retail Bag,33.06,32435099,Delivery,2026-03-21
AREA 5,ST,1042,PAPUA BARAT,104201,KABUPATEN MANOKWARI,Atlas,MAT003,Atlas Semen Tecton Khusus,ZSLF,ZAK,WH-1042-02,Gudang Papua Barat 02,SD-1042-02,PT Distributor Papua Barat 02,PL-005,Pabrik Pangkep,AREA 93 MANOKWARI,FB,Retail Bag,60.61,62599705,Delivery,2026-03-21
AREA 2,SMBR,1015,JAMBI,101502,KOTA JAMBI,Monolith,MAT003,Monolith Semen Tecton Khusus,ZLC,BAG,WH-1015-01,Gudang Jambi 01,SD-1015-01,PT Distributor Jambi 01,PL-002,Pabrik Baturaja,AREA 18 JAMBI,FB,Retail Bag,140.42,147687577,Pickup,2026-03-21
AREA 1,SP,1012,SUMATERA BARAT,101201,KABUPATEN PADANG PARIAMAN,Fonda,MAT002,Fonda Semen PCC Premium,ZSLF,BAG,WH-1012-02,Gudang Sumatera Barat 02,SD-1012-03,PT Distributor Sumatera Barat 03,PL-001,Pabrik Indarung,AREA 10 PADANG,MB,Retail Bag,97.83,115062754,Pickup,2026-03-21
AREA 5,ST,1028,NUSA TENGGARA TIMUR,102802,KOTA KUPANG,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLF,ZAK,WH-1028-02,Gudang Nusa Tenggara Timur 02,SD-1028-03,PT Distributor Nusa Tenggara Timur 03,PL-005,Pabrik Pangkep,AREA 90 KUPANG,FB,Retail Bag,18.76,19861568,Pickup,2026-03-21
AREA 5,ST,1042,PAPUA BARAT,104202,KOTA SORONG,Atlas,MAT002,Atlas Semen PCC Premium,ZSLF,BAG,WH-1042-02,Gudang Papua Barat 02,SD-1042-02,PT Distributor Papua Barat 02,PL-005,Pabrik Pangkep,AREA 93 MANOKWARI,MB,Retail Bag,128.8,146119092,Pickup,2026-03-21
AREA 5,ST,1042,PAPUA BARAT,104202,KOTA SORONG,Atlas,MAT004,Atlas Semen Portland Komposit,ZLC,ZAK,WH-1042-02,Gudang Papua Barat 02,SD-1042-01,PT Distributor Papua Barat 01,PL-005,Pabrik Pangkep,AREA 93 MANOKWARI,FB,Retail Bag,42.88,46923369,Pickup,2026-03-21
AREA 1,SP,1015,JAMBI,101501,KABUPATEN MUARO JAMBI,Fonda,MAT001,Fonda Semen Portland Tipe I,ZLFP,BAG,WH-1015-01,Gudang Jambi 01,SD-1015-03,PT Distributor Jambi 03,PL-001,Pabrik Indarung,AREA 19 MUARO JAMBI,MB,Retail Bag,121.0,142995985,Pickup,2026-03-21
AREA 2,SMBR,1016,SUMATERA SELATAN,101601,KABUPATEN MUARA ENIM,Monolith,MAT004,Monolith Semen Portland Komposit,ZLF,BAG,WH-1016-01,Gudang Sumatera Selatan 01,SD-1016-01,PT Distributor Sumatera Selatan 01,PL-002,Pabrik Baturaja,AREA 27 OGANKOMERING,FB,Retail Bag,121.1,115318928,Delivery,2026-03-22
AREA 3,SBI,1021,DKI JAKARTA,102103,KOTA JAKARTA SELATAN,Tecton,MAT001,Tecton Semen Portland Tipe I,ZLFP,ZAK,WH-1021-02,Gudang Dki Jakarta 02,SD-1021-03,PT Distributor Dki Jakarta 03,PL-003,Pabrik Narogong,AREA 34 JAKARTA,MB,Retail Bag,55.53,65151294,Delivery,2026-03-22
AREA 1,SP,1012,SUMATERA BARAT,101202,KOTA PADANG,Fonda,MAT002,Fonda Semen PCC Premium,ZLFP,BAG,WH-1012-02,Gudang Sumatera Barat 02,SD-1012-01,PT Distributor Sumatera Barat 01,PL-001,Pabrik Indarung,AREA 10 PADANG,MB,Retail Bag,72.4,79726156,Pickup,2026-03-22
AREA 5,ST,1030,KALIMANTAN SELATAN,103001,KABUPATEN BANJAR,Atlas,MAT002,Atlas Semen PCC Premium,ZLFP,BAG,WH-1030-01,Gudang Kalimantan Selatan 01,SD-1030-02,PT Distributor Kalimantan Selatan 02,PL-005,Pabrik Pangkep,AREA 65 BANJARMASIN,FB,Retail Bag,26.36,34075545,Delivery,2026-03-22
AREA 5,ST,1037,SULAWESI UTARA,103702,KOTA MANADO,Atlas,MAT004,Atlas Semen Portland Komposit,ZLC,ZAK,WH-1037-02,Gudang Sulawesi Utara 02,SD-1037-02,PT Distributor Sulawesi Utara 02,PL-005,Pabrik Pangkep,AREA 85 MINAHASA,FB,Retail Bag,81.07,87185353,Pickup,2026-03-22
AREA 5,ST,1037,SULAWESI UTARA,103701,KABUPATEN MINAHASA,Atlas,MAT004,Atlas Semen Portland Komposit,ZLF,ZAK,WH-1037-02,Gudang Sulawesi Utara 02,SD-1037-03,PT Distributor Sulawesi Utara 03,PL-005,Pabrik Pangkep,AREA 85 MINAHASA,MB,Retail Bag,116.23,123314334,Pickup,2026-03-22
AREA 5,ST,1043,KALIMANTAN UTARA,104302,KOTA TARAKAN,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLC,BAG,WH-1043-01,Gudang Kalimantan Utara 01,SD-1043-01,PT Distributor Kalimantan Utara 01,PL-005,Pabrik Pangkep,AREA 70 TARAKAN,FB,Retail Bag,110.76,111093387,Delivery,2026-03-22
AREA 2,SMBR,1015,JAMBI,101502,KOTA JAMBI,Monolith,MAT002,Monolith Semen PCC Premium,ZSLF,BAG,WH-1015-02,Gudang Jambi 02,SD-1015-02,PT Distributor Jambi 02,PL-002,Pabrik Baturaja,AREA 18 JAMBI,MB,Retail Bag,23.75,27636925,Pickup,2026-03-22
AREA 4,SG,1031,KALIMANTAN TENGAH,103103,KABUPATEN KOTAWARINGIN TIMUR,Primebase,MAT004,Primebase Semen Portland Komposit,ZLFP,ZAK,WH-1031-02,Gudang Kalimantan Tengah 02,SD-1031-01,PT Distributor Kalimantan Tengah 01,PL-004,Pabrik Tuban,AREA 62 KOTAWRGN TMR,FB,Retail Bag,145.45,165513954,Delivery,2026-03-22
AREA 4,SG,1023,JAWA TENGAH,102302,KOTA SEMARANG,Vanguard,MAT004,Vanguard Semen Portland Komposit,ZLFP,ZAK,WH-1023-02,Gudang Jawa Tengah 02,SD-1023-03,PT Distributor Jawa Tengah 03,PL-004,Pabrik Tuban,AREA 43 SEMARANG,MB,Retail Bag,93.51,102006225,Delivery,2026-03-22
AREA 2,SMBR,1015,JAMBI,101502,KOTA JAMBI,Monolith,MAT004,Monolith Semen Portland Komposit,ZLF,BAG,WH-1015-01,Gudang Jambi 01,SD-1015-02,PT Distributor Jambi 02,PL-002,Pabrik Baturaja,AREA 18 JAMBI,MB,Retail Bag,79.66,81467087,Delivery,2026-03-22
AREA 4,SG,1031,KALIMANTAN TENGAH,103101,KABUPATEN KAPUAS,Vanguard,MAT002,Vanguard Semen PCC Premium,ZSLF,BAG,WH-1031-02,Gudang Kalimantan Tengah 02,SD-1031-01,PT Distributor Kalimantan Tengah 01,PL-004,Pabrik Tuban,AREA 63 PALANGKARAYA,FB,Retail Bag,40.75,41030074,Delivery,2026-03-22
AREA 5,ST,1035,SULAWESI TENGGARA,103501,KABUPATEN KONAWE,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLF,BAG,WH-1035-02,Gudang Sulawesi Tenggara 02,SD-1035-02,PT Distributor Sulawesi Tenggara 02,PL-005,Pabrik Pangkep,AREA 79 KENDARI,MB,Retail Bag,70.23,83920917,Pickup,2026-03-22
AREA 2,SMBR,1015,JAMBI,101501,KABUPATEN MUARO JAMBI,Monolith,MAT002,Monolith Semen PCC Premium,ZLC,BAG,WH-1015-01,Gudang Jambi 01,SD-1015-02,PT Distributor Jambi 02,PL-002,Pabrik Baturaja,AREA 19 MUARO JAMBI,MB,Retail Bag,142.39,159802161,Pickup,2026-03-22
AREA 4,SG,1029,KALIMANTAN BARAT,102901,KABUPATEN KUBU RAYA,Primebase,MAT003,Primebase Semen Tecton Khusus,ZSLF,ZAK,WH-1029-02,Gudang Kalimantan Barat 02,SD-1029-02,PT Distributor Kalimantan Barat 02,PL-004,Pabrik Tuban,AREA 58 PONTIANAK,FB,Retail Bag,111.38,107276426,Pickup,2026-03-22
AREA 5,ST,1033,SULAWESI SELATAN,103301,KABUPATEN MAROS,Atlas,MAT004,Atlas Semen Portland Komposit,ZSLF,BAG,WH-1033-01,Gudang Sulawesi Selatan 01,SD-1033-01,PT Distributor Sulawesi Selatan 01,PL-005,Pabrik Pangkep,AREA 72 MAKASSAR,MB,Retail Bag,36.7,41719752,Delivery,2026-03-22
AREA 1,SP,1012,SUMATERA BARAT,101203,KOTA BUKIT TINGGI,Fonda,MAT002,Fonda Semen PCC Premium,ZSLF,BAG,WH-1012-02,Gudang Sumatera Barat 02,SD-1012-03,PT Distributor Sumatera Barat 03,PL-001,Pabrik Indarung,AREA 12 BUKITTINGGI,MB,Retail Bag,50.21,53367907,Delivery,2026-03-22
AREA 5,ST,1035,SULAWESI TENGGARA,103501,KABUPATEN KONAWE,Atlas,MAT002,Atlas Semen PCC Premium,ZLF,ZAK,WH-1035-01,Gudang Sulawesi Tenggara 01,SD-1035-02,PT Distributor Sulawesi Tenggara 02,PL-005,Pabrik Pangkep,AREA 79 KENDARI,FB,Retail Bag,119.04,125468874,Pickup,2026-03-22
AREA 3,SBI,1021,DKI JAKARTA,102101,KOTA JAKARTA BARAT,Tecton,MAT001,Tecton Semen Portland Tipe I,ZLC,ZAK,WH-1021-02,Gudang Dki Jakarta 02,SD-1021-03,PT Distributor Dki Jakarta 03,PL-003,Pabrik Narogong,AREA 34 JAKARTA,MB,Retail Bag,35.34,33949406,Pickup,2026-03-22
AREA 2,SMBR,1015,JAMBI,101501,KABUPATEN MUARO JAMBI,Monolith,MAT004,Monolith Semen Portland Komposit,ZLFP,ZAK,WH-1015-01,Gudang Jambi 01,SD-1015-02,PT Distributor Jambi 02,PL-002,Pabrik Baturaja,AREA 19 MUARO JAMBI,FB,Retail Bag,101.88,96870152,Delivery,2026-03-22
AREA 5,ST,1033,SULAWESI SELATAN,103302,KOTA MAKASSAR,Atlas,MAT004,Atlas Semen Portland Komposit,ZSLF,BAG,WH-1033-02,Gudang Sulawesi Selatan 02,SD-1033-01,PT Distributor Sulawesi Selatan 01,PL-005,Pabrik Pangkep,AREA 72 MAKASSAR,FB,Retail Bag,99.58,118889458,Pickup,2026-03-22
AREA 5,ST,1033,SULAWESI SELATAN,103301,KABUPATEN MAROS,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLF,BAG,WH-1033-01,Gudang Sulawesi Selatan 01,SD-1033-03,PT Distributor Sulawesi Selatan 03,PL-005,Pabrik Pangkep,AREA 72 MAKASSAR,MB,Retail Bag,115.52,144918338,Pickup,2026-03-22
AREA 4,SG,1023,JAWA TENGAH,102301,KABUPATEN BANYUMAS,Primebase,MAT001,Primebase Semen Portland Tipe I,ZLC,BAG,WH-1023-01,Gudang Jawa Tengah 01,SD-1023-01,PT Distributor Jawa Tengah 01,PL-004,Pabrik Tuban,AREA 42 PURWOKERTO,MB,Retail Bag,91.59,101894607,Pickup,2026-03-22
AREA 5,ST,1037,SULAWESI UTARA,103702,KOTA MANADO,Atlas,MAT002,Atlas Semen PCC Premium,ZLF,ZAK,WH-1037-02,Gudang Sulawesi Utara 02,SD-1037-01,PT Distributor Sulawesi Utara 01,PL-005,Pabrik Pangkep,AREA 85 MINAHASA,MB,Retail Bag,25.48,28373304,Pickup,2026-03-22
AREA 1,SP,1010,ACEH,101002,KOTA BANDA ACEH,TerraBlock,MAT001,TerraBlock Semen Portland Tipe I,ZLF,ZAK,WH-1010-02,Gudang Aceh 02,SD-1010-01,PT Distributor Aceh 01,PL-001,Pabrik Indarung,AREA 01 BANDA ACEH,FB,Retail Bag,35.07,41431522,Pickup,2026-03-22
AREA 4,SG,1025,JAWA TIMUR,102503,KOTA MALANG,Primebase,MAT001,Primebase Semen Portland Tipe I,ZSLF,ZAK,WH-1025-01,Gudang Jawa Timur 01,SD-1025-01,PT Distributor Jawa Timur 01,PL-004,Pabrik Tuban,AREA 53 MALANG,MB,Retail Bag,105.32,115098435,Pickup,2026-03-22
AREA 4,SG,1023,JAWA TENGAH,102302,KOTA SEMARANG,Vanguard,MAT002,Vanguard Semen PCC Premium,ZLFP,ZAK,WH-1023-02,Gudang Jawa Tengah 02,SD-1023-01,PT Distributor Jawa Tengah 01,PL-004,Pabrik Tuban,AREA 43 SEMARANG,FB,Retail Bag,41.04,51357414,Delivery,2026-03-22
AREA 1,SP,1010,ACEH,101001,KABUPATEN ACEH BESAR,TerraBlock,MAT001,TerraBlock Semen Portland Tipe I,ZLFP,ZAK,WH-1010-02,Gudang Aceh 02,SD-1010-03,PT Distributor Aceh 03,PL-001,Pabrik Indarung,AREA 01 BANDA ACEH,MB,Retail Bag,113.12,132554694,Delivery,2026-03-22
AREA 5,ST,1043,KALIMANTAN UTARA,104301,KABUPATEN BULUNGAN,Atlas,MAT002,Atlas Semen PCC Premium,ZSLF,ZAK,WH-1043-01,Gudang Kalimantan Utara 01,SD-1043-01,PT Distributor Kalimantan Utara 01,PL-005,Pabrik Pangkep,AREA 70 TARAKAN,FB,Retail Bag,130.61,142013689,Delivery,2026-03-22
AREA 2,SMBR,1015,JAMBI,101501,KABUPATEN MUARO JAMBI,Monolith,MAT003,Monolith Semen Tecton Khusus,ZSLF,ZAK,WH-1015-01,Gudang Jambi 01,SD-1015-03,PT Distributor Jambi 03,PL-002,Pabrik Baturaja,AREA 19 MUARO JAMBI,MB,Retail Bag,38.08,42523364,Delivery,2026-03-22
AREA 1,SP,1011,SUMATERA UTARA,101101,KABUPATEN DELI SERDANG,TerraBlock,MAT004,TerraBlock Semen Portland Komposit,ZSLF,ZAK,WH-1011-02,Gudang Sumatera Utara 02,SD-1011-02,PT Distributor Sumatera Utara 02,PL-001,Pabrik Indarung,AREA 06 BINJAI,MB,Retail Bag,16.12,16781290,Pickup,2026-03-22
AREA 1,SP,1018,BENGKULU,101802,KOTA BENGKULU,TerraBlock,MAT004,TerraBlock Semen Portland Komposit,ZLFP,BAG,WH-1018-02,Gudang Bengkulu 02,SD-1018-02,PT Distributor Bengkulu 02,PL-001,Pabrik Indarung,AREA 21 BENGKULU,FB,Retail Bag,45.09,43176109,Delivery,2026-03-22
AREA 1,SP,1014,KEPULAUAN RIAU,101402,KOTA BATAM,TerraBlock,MAT004,TerraBlock Semen Portland Komposit,ZLFP,BAG,WH-1014-02,Gudang Kepulauan Riau 02,SD-1014-03,PT Distributor Kepulauan Riau 03,PL-001,Pabrik Indarung,AREA 16 BATAM,MB,Retail Bag,51.83,64194305,Pickup,2026-03-22
AREA 3,SBI,1022,JAWA BARAT,102201,KABUPATEN BOGOR,Omnicore,MAT004,Omnicore Semen Portland Komposit,ZLC,BAG,WH-1022-01,Gudang Jawa Barat 01,SD-1022-02,PT Distributor Jawa Barat 02,PL-003,Pabrik Narogong,AREA 35 BOGOR,MB,Retail Bag,94.28,103373306,Pickup,2026-03-22
AREA 5,ST,1027,NUSA TENGGARA BARAT,102701,KABUPATEN LOMBOK BARAT,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLC,BAG,WH-1027-01,Gudang Nusa Tenggara Barat 01,SD-1027-03,PT Distributor Nusa Tenggara Barat 03,PL-005,Pabrik Pangkep,AREA 86 LOMBOK,MB,Retail Bag,42.84,45790390,Pickup,2026-03-22
AREA 4,SG,1026,BALI,102602,KOTA DENPASAR,Primebase,MAT004,Primebase Semen Portland Komposit,ZSLF,ZAK,WH-1026-01,Gudang Bali 01,SD-1026-03,PT Distributor Bali 03,PL-004,Pabrik Tuban,AREA 57 DENPASAR,MB,Retail Bag,41.67,51547415,Delivery,2026-03-22
AREA 5,ST,1037,SULAWESI UTARA,103701,KABUPATEN MINAHASA,Atlas,MAT004,Atlas Semen Portland Komposit,ZSLF,ZAK,WH-1037-02,Gudang Sulawesi Utara 02,SD-1037-02,PT Distributor Sulawesi Utara 02,PL-005,Pabrik Pangkep,AREA 85 MINAHASA,FB,Retail Bag,29.46,34984633,Delivery,2026-03-22
AREA 3,SBI,1023,JAWA TENGAH,102302,KOTA SEMARANG,Omnicore,MAT001,Omnicore Semen Portland Tipe I,ZLC,BAG,WH-1023-01,Gudang Jawa Tengah 01,SD-1023-03,PT Distributor Jawa Tengah 03,PL-003,Pabrik Narogong,AREA 43 SEMARANG,FB,Retail Bag,47.65,47546647,Pickup,2026-03-22
AREA 3,SBI,1023,JAWA TENGAH,102302,KOTA SEMARANG,Omnicore,MAT002,Omnicore Semen PCC Premium,ZSLF,BAG,WH-1023-01,Gudang Jawa Tengah 01,SD-1023-01,PT Distributor Jawa Tengah 01,PL-003,Pabrik Narogong,AREA 43 SEMARANG,MB,Retail Bag,143.7,162639228,Pickup,2026-03-22
AREA 1,SP,1015,JAMBI,101501,KABUPATEN MUARO JAMBI,TerraBlock,MAT002,TerraBlock Semen PCC Premium,ZLF,ZAK,WH-1015-02,Gudang Jambi 02,SD-1015-02,PT Distributor Jambi 02,PL-001,Pabrik Indarung,AREA 19 MUARO JAMBI,MB,Retail Bag,122.17,128466030,Delivery,2026-03-22
AREA 1,SP,1010,ACEH,101002,KOTA BANDA ACEH,TerraBlock,MAT003,TerraBlock Semen Tecton Khusus,ZLFP,ZAK,WH-1010-02,Gudang Aceh 02,SD-1010-02,PT Distributor Aceh 02,PL-001,Pabrik Indarung,AREA 01 BANDA ACEH,MB,Retail Bag,130.0,164092890,Pickup,2026-03-22
AREA 3,SBI,1017,KEPULAUAN BANGKA BELITUNG,101702,KOTA PANGKAL PINANG,Omnicore,MAT003,Omnicore Semen Tecton Khusus,ZLC,BAG,WH-1017-02,Gudang Kepulauan Bangka Belitung 02,SD-1017-02,PT Distributor Kepulauan Bangka Belitung 02,PL-003,Pabrik Narogong,AREA 28 BANGKA BLTNG,FB,Retail Bag,133.09,172817365,Delivery,2026-03-22
AREA 3,SBI,1023,JAWA TENGAH,102303,KOTA SURAKARTA,Omnicore,MAT004,Omnicore Semen Portland Komposit,ZSLF,BAG,WH-1023-01,Gudang Jawa Tengah 01,SD-1023-02,PT Distributor Jawa Tengah 02,PL-003,Pabrik Narogong,AREA 45 SOLO,FB,Retail Bag,127.52,146416041,Delivery,2026-03-22
AREA 5,ST,1041,PAPUA,104101,KABUPATEN JAYAPURA,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLC,BAG,WH-1041-01,Gudang Papua 01,SD-1041-03,PT Distributor Papua 03,PL-005,Pabrik Pangkep,AREA 95 JAYAPURA,MB,Retail Bag,104.38,105281425,Pickup,2026-03-22
AREA 5,ST,1038,GORONTALO,103802,KOTA GORONTALO,Atlas,MAT002,Atlas Semen PCC Premium,ZLC,BAG,WH-1038-01,Gudang Gorontalo 01,SD-1038-01,PT Distributor Gorontalo 01,PL-005,Pabrik Pangkep,AREA 83 GORONTALO,MB,Retail Bag,18.4,18172226,Delivery,2026-03-22
AREA 3,SBI,1024,DI YOGYAKARTA,102401,KABUPATEN SLEMAN,Omnicore,MAT003,Omnicore Semen Tecton Khusus,ZSLF,BAG,WH-1024-02,Gudang Di Yogyakarta 02,SD-1024-03,PT Distributor Di Yogyakarta 03,PL-003,Pabrik Narogong,AREA 47 YOGYAKARTA,FB,Retail Bag,74.84,93392312,Delivery,2026-03-22
AREA 4,SG,1029,KALIMANTAN BARAT,102902,KOTA PONTIANAK,Primebase,MAT004,Primebase Semen Portland Komposit,ZLF,ZAK,WH-1029-02,Gudang Kalimantan Barat 02,SD-1029-01,PT Distributor Kalimantan Barat 01,PL-004,Pabrik Tuban,AREA 58 PONTIANAK,FB,Retail Bag,114.59,110533055,Delivery,2026-03-22
AREA 5,ST,1038,GORONTALO,103802,KOTA GORONTALO,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLC,ZAK,WH-1038-02,Gudang Gorontalo 02,SD-1038-02,PT Distributor Gorontalo 02,PL-005,Pabrik Pangkep,AREA 83 GORONTALO,FB,Retail Bag,90.26,102033153,Delivery,2026-03-23
AREA 4,SG,1029,KALIMANTAN BARAT,102902,KOTA PONTIANAK,Vanguard,MAT002,Vanguard Semen PCC Premium,ZLF,BAG,WH-1029-01,Gudang Kalimantan Barat 01,SD-1029-01,PT Distributor Kalimantan Barat 01,PL-004,Pabrik Tuban,AREA 58 PONTIANAK,FB,Retail Bag,146.8,154199894,Delivery,2026-03-23
AREA 5,ST,1040,MALUKU UTARA,104001,KABUPATEN HALMAHERA UTARA,Atlas,MAT002,Atlas Semen PCC Premium,ZLC,ZAK,WH-1040-02,Gudang Maluku Utara 02,SD-1040-01,PT Distributor Maluku Utara 01,PL-005,Pabrik Pangkep,AREA 91 MALUKU UTARA,MB,Retail Bag,23.3,25661058,Delivery,2026-03-23
AREA 3,SBI,1017,KEPULAUAN BANGKA BELITUNG,101701,KABUPATEN BANGKA,Tecton,MAT004,Tecton Semen Portland Komposit,ZLF,ZAK,WH-1017-01,Gudang Kepulauan Bangka Belitung 01,SD-1017-03,PT Distributor Kepulauan Bangka Belitung 03,PL-003,Pabrik Narogong,AREA 28 BANGKA BLTNG,FB,Retail Bag,111.89,109136722,Delivery,2026-03-23
AREA 1,SP,1014,KEPULAUAN RIAU,101403,KOTA TANJUNG PINANG,TerraBlock,MAT003,TerraBlock Semen Tecton Khusus,ZLFP,ZAK,WH-1014-01,Gudang Kepulauan Riau 01,SD-1014-02,PT Distributor Kepulauan Riau 02,PL-001,Pabrik Indarung,AREA 17 KEP. RIAU,FB,Retail Bag,19.58,24564598,Pickup,2026-03-23
AREA 5,ST,1033,SULAWESI SELATAN,103301,KABUPATEN MAROS,Atlas,MAT002,Atlas Semen PCC Premium,ZSLF,BAG,WH-1033-01,Gudang Sulawesi Selatan 01,SD-1033-02,PT Distributor Sulawesi Selatan 02,PL-005,Pabrik Pangkep,AREA 72 MAKASSAR,MB,Retail Bag,81.36,89702003,Pickup,2026-03-23
